salary_usd,job_title,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry
184388.49,Data Analyst,3,2,France,2,50,"Git, Kubernetes, TensorFlow, R, Java",0,17,Manufacturing
196942.0,ML Ops Engineer,3,2,Australia,2,100,"R, Tableau, SQL, MLOps, Docker",2,19,Gaming
207548.0,Machine Learning Researcher,3,2,Canada,1,0,"NLP, Azure, Spark, Data Visualization",3,10,Energy
68838.0,NLP Engineer,1,3,Sweden,0,50,"Java, SQL, Spark, Tableau, Azure",3,3,Automotive
125666.0,ML Ops Engineer,3,3,Finland,2,100,"Docker, Python, Git, Kubernetes, Java",3,13,Telecommunications
73174.0,NLP Engineer,0,0,Denmark,1,50,"Git, MLOps, Hadoop, Python, Spark",1,0,Finance
33314.0,Autonomous Systems Engineer,0,2,Israel,0,50,"SQL, Kubernetes, Docker",0,0,Manufacturing
69914.0,AI Specialist,0,0,United States,0,100,"R, NLP, SQL, GCP",1,0,Transportation
177978.06,Principal Data Scientist,3,3,France,1,50,"Spark, SQL, Python, Mathematics, Linux",2,11,Automotive
91276.37999999999,AI Software Engineer,0,2,France,2,50,"PyTorch, Hadoop, Scala, Computer Vision",3,0,Real Estate
48466.0,Research Scientist,0,1,Canada,0,100,"Hadoop, Spark, Kubernetes, Python",0,0,Automotive
114656.48999999999,Data Analyst,2,2,France,0,50,"Hadoop, Python, TensorFlow, R, Statistics",3,8,Technology
128341.0,Principal Data Scientist,2,3,Singapore,0,0,"Computer Vision, PyTorch, GCP, Linux",0,9,Finance
111528.0,AI Research Scientist,1,3,United States,2,0,"Java, Hadoop, Mathematics",3,3,Real Estate
138945.0,Machine Learning Researcher,3,1,Canada,0,50,"Linux, R, NLP, PyTorch, Git",2,19,Education
98688.0,NLP Engineer,2,0,Israel,1,50,"Statistics, Python, TensorFlow, PyTorch, Git",0,8,Manufacturing
127563.93,Data Analyst,2,0,France,0,0,"Kubernetes, Scala, Java",0,6,Technology
84797.0,NLP Engineer,1,0,Canada,1,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",2,4,Real Estate
290199.0,Machine Learning Researcher,3,2,Switzerland,2,50,"Python, AWS, Kubernetes, Deep Learning",2,12,Retail
195691.0,AI Research Scientist,2,2,United States,2,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",3,8,Transportation
193448.0,AI Product Manager,2,0,Norway,2,100,"Scala, Git, Java",1,9,Consulting
138466.0,AI Product Manager,3,1,Israel,2,100,"Azure, AWS, PyTorch, GCP, Hadoop",1,16,Government
107145.09,Data Analyst,1,2,Netherlands,1,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",0,3,Transportation
92875.0,Computer Vision Engineer,1,0,Sweden,0,0,"SQL, Python, Deep Learning",3,3,Real Estate
290070.32,Data Engineer,3,0,United Kingdom,0,100,"TensorFlow, GCP, PyTorch, Spark",2,13,Healthcare
62171.0,NLP Engineer,1,0,Japan,0,0,"Git, SQL, PyTorch, Mathematics",0,2,Consulting
152658.0,AI Research Scientist,3,3,South Korea,2,50,"Data Visualization, PyTorch, Spark, TensorFlow",1,16,Automotive
95085.0,ML Ops Engineer,1,0,Norway,1,100,"TensorFlow, SQL, NLP, Computer Vision, Git",1,2,Retail
101497.5,Deep Learning Engineer,1,3,France,0,100,"Java, R, Git, Mathematics, Spark",3,2,Government
64261.0,AI Specialist,1,1,Israel,1,0,"PyTorch, Docker, GCP",2,2,Transportation
205357.0,Machine Learning Researcher,3,1,United States,0,100,"Computer Vision, Hadoop, Git, AWS",0,18,Education
193840.91999999998,AI Architect,3,2,France,0,50,"TensorFlow, Linux, SQL, Hadoop",1,18,Government
134149.86,Computer Vision Engineer,2,2,France,1,100,"SQL, Scala, Python",0,9,Telecommunications
167484.33,Data Scientist,2,3,France,2,50,"NLP, Computer Vision, Mathematics, Statistics, R",2,6,Real Estate
136042.91999999998,Machine Learning Researcher,2,3,Germany,0,50,"Azure, R, Linux, MLOps",0,7,Technology
61055.0,NLP Engineer,0,3,United States,1,100,"R, AWS, Computer Vision, Statistics, Docker",0,0,Retail
50303.0,ML Ops Engineer,0,0,Austria,2,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",2,0,Gaming
65570.0,Data Analyst,2,3,Ireland,0,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",1,7,Retail
231078.0,AI Software Engineer,3,3,Singapore,1,50,"MLOps, R, Git, Mathematics",0,17,Consulting
106633.0,AI Product Manager,2,0,Australia,1,100,"Linux, Scala, SQL, Git",0,9,Automotive
121180.0,AI Specialist,2,3,Austria,2,0,"Git, Deep Learning, Kubernetes, Linux, GCP",2,9,Media
64531.0,Principal Data Scientist,0,1,China,2,50,"Git, SQL, Scala, Python, Computer Vision",3,0,Retail
125654.0,Machine Learning Engineer,1,2,Singapore,2,50,"Python, Tableau, Java",3,4,Automotive
182275.0,Machine Learning Researcher,3,0,Austria,2,0,"Docker, AWS, Linux, Git, Azure",3,14,Technology
117708.0,Machine Learning Researcher,1,3,Denmark,2,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",3,4,Transportation
143246.0,Data Engineer,3,0,South Korea,0,0,"Docker, SQL, Kubernetes, Git, Statistics",2,11,Healthcare
203198.0,AI Product Manager,2,0,Denmark,2,50,"Statistics, R, Python, TensorFlow",2,5,Consulting
69487.0,Research Scientist,0,2,Switzerland,0,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",2,0,Transportation
95673.0,AI Product Manager,3,3,Ireland,0,0,"GCP, R, Azure, Deep Learning, PyTorch",1,17,Technology
59405.0,AI Software Engineer,0,3,Austria,2,100,"Spark, Python, Deep Learning, Linux, Java",0,1,Consulting
154154.52,AI Specialist,2,1,Netherlands,1,0,"AWS, R, Spark",3,5,Technology
42835.0,AI Software Engineer,0,1,South Korea,2,0,"Python, TensorFlow, PyTorch",0,0,Media
61893.0,Autonomous Systems Engineer,0,0,Canada,1,50,"Statistics, Python, SQL",1,1,Consulting
165895.47,ML Ops Engineer,3,2,France,1,0,"Hadoop, Azure, Python, R",3,13,Media
351746.32,AI Product Manager,3,1,United Kingdom,1,50,"Computer Vision, GCP, Azure, SQL, Python",2,11,Education
49485.0,NLP Engineer,1,0,Finland,0,0,"Hadoop, Java, Data Visualization",1,2,Technology
172916.0,Robotics Engineer,2,1,Norway,0,100,"Computer Vision, SQL, PyTorch, Java",0,8,Manufacturing
324557.0,Machine Learning Engineer,3,0,Denmark,2,100,"Hadoop, Python, Git, TensorFlow",3,11,Telecommunications
86455.98,AI Consultant,1,2,France,1,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",0,4,Consulting
122598.0,Principal Data Scientist,2,0,Sweden,0,50,"Linux, AWS, Computer Vision, Deep Learning",1,9,Media
94478.0,Data Scientist,1,3,Denmark,0,100,"PyTorch, TensorFlow, Hadoop, Python",3,4,Retail
53088.0,Autonomous Systems Engineer,0,1,Austria,1,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",3,1,Finance
116012.0,Machine Learning Researcher,1,0,Denmark,1,0,"SQL, MLOps, Python",2,3,Automotive
35593.0,Deep Learning Engineer,0,2,China,0,0,"Python, Hadoop, Deep Learning",0,0,Media
149053.0,AI Product Manager,3,0,Austria,0,0,"GCP, Linux, R, Hadoop",2,17,Media
88230.0,Principal Data Scientist,1,0,Austria,2,0,"TensorFlow, Git, Azure, Python",1,4,Education
224919.0,AI Research Scientist,3,3,Australia,1,100,"Kubernetes, Deep Learning, PyTorch",1,19,Education
257913.62999999998,Machine Learning Researcher,3,1,Netherlands,0,100,"SQL, Data Visualization, GCP, Deep Learning, MLOps",1,12,Manufacturing
48861.0,NLP Engineer,0,1,Finland,0,100,"GCP, Python, Computer Vision, Git",0,0,Healthcare
115841.0,AI Specialist,2,3,United States,0,0,"TensorFlow, Kubernetes, Deep Learning",3,7,Healthcare
57266.0,NLP Engineer,1,3,Ireland,1,0,"Computer Vision, PyTorch, Linux, TensorFlow",0,3,Media
66384.0,Deep Learning Engineer,1,2,Australia,0,0,"Git, Tableau, Hadoop, Computer Vision",1,2,Government
184637.0,Data Analyst,3,1,Sweden,0,100,"R, SQL, Data Visualization",0,11,Government
108160.65,AI Research Scientist,1,2,Netherlands,1,50,"Linux, Python, Scala, Docker",0,4,Technology
57388.0,Machine Learning Researcher,0,3,Canada,2,0,"Python, GCP, TensorFlow",1,1,Consulting
53374.0,Head of AI,1,1,China,1,0,"Docker, Deep Learning, R",3,2,Government
95716.0,AI Research Scientist,2,2,Finland,0,50,"Git, Spark, Azure, Statistics",3,6,Media
157091.0,NLP Engineer,1,3,Norway,2,0,"Python, Java, Kubernetes, SQL, NLP",3,2,Transportation
204144.0,ML Ops Engineer,2,3,Norway,2,100,"Hadoop, Mathematics, Linux",3,8,Telecommunications
222667.37999999998,AI Software Engineer,3,2,Netherlands,1,100,"GCP, Computer Vision, Scala, AWS, Linux",3,12,Government
198403.0,Principal Data Scientist,3,3,Denmark,1,50,"Data Visualization, SQL, Scala",1,15,Media
153040.0,Research Scientist,2,2,Canada,2,50,"SQL, Tableau, Statistics, GCP",0,7,Manufacturing
51898.0,AI Software Engineer,1,3,Israel,0,0,"Deep Learning, Python, NLP",1,2,Consulting
134773.47,AI Architect,2,3,Germany,0,0,"R, AWS, Git, Tableau",1,7,Education
170139.0,ML Ops Engineer,2,1,United States,2,50,"Python, Spark, Hadoop",0,5,Technology
63860.0,ML Ops Engineer,0,2,Canada,2,100,"Linux, TensorFlow, GCP, Docker, Azure",2,0,Gaming
125152.0,NLP Engineer,1,2,Norway,1,100,"TensorFlow, Docker, AWS, Spark",3,3,Retail
61572.0,AI Software Engineer,0,2,South Korea,2,50,"Linux, Azure, Kubernetes",0,0,Healthcare
118233.18,Head of AI,1,2,Germany,1,50,"Statistics, Tableau, Java, Data Visualization, NLP",2,3,Transportation
145355.0,Data Engineer,3,2,Canada,0,100,"Spark, Linux, AWS, Deep Learning",2,13,Media
183484.0,Deep Learning Engineer,3,0,Singapore,0,100,"Scala, Data Visualization, TensorFlow, Mathematics, Java",2,19,Gaming
111997.0,AI Product Manager,1,2,Singapore,2,100,"PyTorch, Scala, Hadoop, Docker, Computer Vision",3,2,Technology
291305.2,AI Specialist,3,1,United Kingdom,1,100,"Tableau, GCP, Python",0,19,Manufacturing
93211.0,AI Software Engineer,2,1,India,1,50,"Python, TensorFlow, GCP, Java",2,9,Manufacturing
96184.53,Deep Learning Engineer,0,1,Germany,2,100,"Statistics, TensorFlow, Python",2,1,Transportation
175112.72999999998,AI Software Engineer,2,1,Germany,1,50,"Scala, Hadoop, Azure",1,9,Retail
56825.0,AI Software Engineer,1,1,China,1,50,"Linux, Azure, Git, Deep Learning, Spark",1,3,Government
131635.0,Research Scientist,1,0,Denmark,2,50,"Kubernetes, Git, GCP, NLP",3,2,Manufacturing
163843.0,NLP Engineer,2,3,Norway,2,50,"Scala, Python, Data Visualization, Kubernetes, Statistics",3,7,Telecommunications
73281.0,AI Consultant,1,2,India,2,0,"Deep Learning, Azure, Python",0,2,Technology
51907.0,Principal Data Scientist,1,2,South Korea,1,50,"Statistics, AWS, Java, PyTorch",1,3,Technology
208540.8,NLP Engineer,3,3,Netherlands,0,50,"Python, Spark, TensorFlow",0,12,Real Estate
83226.0,Machine Learning Researcher,2,0,Ireland,0,0,"SQL, Docker, Linux, GCP",2,7,Technology
46995.0,AI Product Manager,0,0,Austria,0,100,"PyTorch, NLP, MLOps, Azure",2,1,Finance
275296.0,AI Research Scientist,3,0,Switzerland,2,0,"Docker, Azure, NLP",1,14,Transportation
300422.0,Deep Learning Engineer,3,1,Denmark,1,100,"Python, TensorFlow, R",0,11,Education
116704.0,AI Product Manager,1,2,Canada,2,100,"SQL, PyTorch, NLP, Data Visualization",0,2,Finance
98422.0,AI Specialist,0,1,United States,2,0,"Java, Python, Mathematics",3,0,Transportation
210249.0,Machine Learning Researcher,3,1,Norway,1,100,"Mathematics, Docker, Deep Learning",2,15,Gaming
67708.0,NLP Engineer,1,3,South Korea,0,0,"NLP, R, Scala, Computer Vision, Azure",2,3,Manufacturing
95796.0,Data Engineer,3,3,Austria,0,100,"Python, TensorFlow, Scala, AWS",2,13,Consulting
229098.0,Head of AI,3,1,Denmark,2,50,"PyTorch, SQL, Kubernetes, Git, Java",2,17,Government
134300.0,ML Ops Engineer,3,2,Ireland,0,50,"Java, Python, Deep Learning, Statistics",2,11,Education
74408.0,AI Specialist,0,2,Australia,1,100,"TensorFlow, Docker, R, NLP, Java",1,1,Automotive
236306.06999999998,AI Architect,3,0,Netherlands,1,0,"Java, Scala, Tableau",3,13,Technology
211493.87999999998,AI Software Engineer,3,2,France,0,100,"GCP, TensorFlow, Data Visualization",2,17,Gaming
49644.0,Principal Data Scientist,0,2,China,2,100,"Linux, PyTorch, TensorFlow, Azure, Python",0,0,Finance
89115.0,AI Product Manager,2,2,South Korea,1,50,"MLOps, Python, Linux, NLP",2,7,Energy
38540.0,AI Software Engineer,0,1,Austria,0,0,"Linux, Kubernetes, Spark, Java",1,1,Technology
180252.0,AI Product Manager,2,0,United States,2,50,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",2,7,Telecommunications
66204.45,Robotics Engineer,0,0,Netherlands,0,0,"MLOps, Java, AWS, NLP, PyTorch",2,1,Gaming
103942.0,AI Specialist,2,3,Sweden,1,0,"Statistics, Python, TensorFlow",3,5,Education
239372.24000000002,Autonomous Systems Engineer,2,3,United Kingdom,2,50,"PyTorch, SQL, TensorFlow, Git, Azure",0,9,Automotive
59056.0,AI Specialist,1,2,Ireland,1,50,"Scala, SQL, Deep Learning, Statistics, GCP",1,2,Healthcare
76940.0,AI Consultant,1,0,Austria,1,0,"AWS, Scala, Docker",1,3,Transportation
150063.76,Machine Learning Engineer,2,2,United Kingdom,1,0,"Spark, Kubernetes, Mathematics",3,7,Retail
139973.92,Data Scientist,1,3,United Kingdom,2,0,"Python, SQL, Git",1,4,Government
44130.0,Machine Learning Researcher,0,0,Japan,0,0,"Python, GCP, Docker, Git, Java",2,0,Technology
128112.0,Data Engineer,2,2,Singapore,2,100,"Mathematics, Hadoop, Tableau",1,5,Telecommunications
57203.64,Data Analyst,0,2,France,1,100,"Linux, Python, NLP",0,0,Consulting
173370.08000000002,Research Scientist,1,2,United Kingdom,2,50,"Java, Docker, Hadoop",2,4,Transportation
100524.0,AI Research Scientist,2,3,Finland,1,0,"Python, Kubernetes, Statistics, TensorFlow",3,6,Gaming
45429.0,Deep Learning Engineer,0,0,Japan,2,0,"GCP, Deep Learning, Python, MLOps",1,0,Gaming
62262.0,ML Ops Engineer,1,0,Austria,2,100,"R, SQL, AWS, MLOps, Data Visualization",0,4,Healthcare
68595.0,AI Specialist,1,0,China,0,50,"Azure, Python, TensorFlow, Data Visualization",2,4,Manufacturing
301038.0,AI Software Engineer,3,1,Norway,1,50,"GCP, Azure, Deep Learning, Spark, SQL",3,18,Media
46253.0,Robotics Engineer,0,2,China,1,0,"MLOps, Data Visualization, Git, TensorFlow, Hadoop",1,1,Government
59644.0,NLP Engineer,0,1,Australia,1,0,"R, Docker, GCP, Java",1,0,Consulting
53960.0,Principal Data Scientist,1,1,Finland,1,0,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",2,3,Telecommunications
111025.98,Computer Vision Engineer,0,1,Netherlands,2,50,"AWS, Hadoop, Python, Scala, Computer Vision",1,1,Real Estate
91611.0,Autonomous Systems Engineer,2,2,Israel,2,0,"PyTorch, SQL, Kubernetes",1,5,Finance
334479.6,NLP Engineer,3,3,Netherlands,2,50,"SQL, Linux, Tableau, MLOps, Spark",2,18,Finance
156757.68000000002,AI Architect,1,3,United Kingdom,2,50,"Mathematics, Hadoop, Scala, NLP, Kubernetes",0,3,Finance
51882.0,Research Scientist,1,2,China,0,50,"Scala, R, SQL",1,3,Technology
95999.67,Data Scientist,1,1,Germany,1,100,"Java, Python, MLOps, Docker",2,2,Automotive
122331.0,ML Ops Engineer,2,3,Canada,2,0,"SQL, NLP, Python",3,5,Retail
159643.0,AI Product Manager,2,1,United States,0,100,"Data Visualization, Linux, GCP, Hadoop",2,5,Gaming
345854.80000000005,Research Scientist,3,3,United Kingdom,1,50,"Hadoop, Python, Linux, Mathematics",0,15,Transportation
52027.0,Data Analyst,1,1,South Korea,1,100,"Kubernetes, Linux, Tableau, MLOps, Statistics",2,2,Retail
43072.0,Robotics Engineer,0,1,India,0,100,"Docker, PyTorch, Spark, TensorFlow, NLP",1,0,Energy
101802.87,Research Scientist,1,3,France,2,50,"Tableau, Linux, PyTorch, Java, AWS",3,4,Gaming
36734.0,AI Research Scientist,0,3,China,0,100,"Azure, Python, Mathematics",2,1,Media
84897.0,Head of AI,1,2,Ireland,2,0,"TensorFlow, Linux, Deep Learning, Hadoop",1,3,Manufacturing
173839.0,AI Research Scientist,2,3,United States,1,100,"TensorFlow, Azure, Tableau, Data Visualization, Hadoop",0,5,Government
59357.0,ML Ops Engineer,0,0,South Korea,2,0,"NLP, Tableau, Kubernetes, SQL, GCP",2,0,Transportation
51431.0,Data Scientist,0,3,Austria,1,100,"Scala, Python, Data Visualization",1,0,Transportation
96506.0,Autonomous Systems Engineer,2,0,Ireland,0,100,"Hadoop, Spark, Kubernetes, Scala",3,5,Finance
59198.0,Data Analyst,0,0,Canada,0,50,"Linux, Kubernetes, Data Visualization, TensorFlow, Docker",2,1,Manufacturing
261795.68999999997,Machine Learning Engineer,3,3,Germany,0,0,"Git, Statistics, Data Visualization, Python, Scala",3,12,Education
86956.73999999999,Deep Learning Engineer,0,0,France,2,0,"Hadoop, Spark, Tableau, R, Python",0,1,Gaming
120749.0,Research Scientist,1,3,United States,1,50,"TensorFlow, MLOps, Kubernetes, SQL, Java",1,2,Retail
138212.0,NLP Engineer,3,0,Finland,0,50,"Hadoop, Azure, Java, MLOps",2,15,Media
199039.0,Robotics Engineer,3,1,Canada,0,0,"Git, Docker, Statistics, Mathematics",2,15,Real Estate
105699.0,AI Specialist,2,3,Singapore,0,0,"Spark, Git, Hadoop",3,6,Healthcare
38497.0,Research Scientist,0,3,Japan,0,100,"Python, Mathematics, PyTorch, Spark",0,0,Consulting
63141.0,AI Product Manager,1,2,Japan,0,100,"R, Azure, MLOps",1,3,Manufacturing
87871.0,AI Specialist,2,2,Austria,2,100,"Git, Statistics, Mathematics, Hadoop, Java",2,9,Telecommunications
255678.0,Research Scientist,3,2,United States,1,0,"SQL, Statistics, Mathematics, TensorFlow, GCP",0,18,Telecommunications
154505.52,Data Analyst,2,2,Netherlands,0,0,"Java, Azure, Tableau, Python",2,7,Gaming
146085.0,AI Research Scientist,2,0,United States,1,100,"Git, Scala, NLP, Python",1,6,Technology
85037.0,Data Engineer,1,2,Sweden,1,50,"PyTorch, Python, Deep Learning, SQL, MLOps",2,3,Finance
42661.0,AI Product Manager,0,1,Ireland,1,0,"Python, Linux, Tableau, SQL, MLOps",0,1,Finance
119706.0,Deep Learning Engineer,2,3,Israel,2,50,"TensorFlow, Hadoop, Python, Java, Docker",1,7,Retail
110064.0,Computer Vision Engineer,3,1,Finland,1,100,"PyTorch, Java, Kubernetes",0,10,Finance
